lemma,pos,rank,dispersion,gloss
년,NNB,79,0.90,year
알다,VV,80,0.80,to know
에게,JKB,81,1.00,to (dative)
그래,IC,82,0.16,yes; okay
내,NP,83,0.56,I; me (my)
지다,VX,84,0.97,to become (auxiliary)
라고,EC,85,0.84,quotative/command
다,MAG,86,0.46,all
까지,JX,87,0.96,to; till; even
집,NNG,88,0.67,house
대하다,VV,89,0.93,to treat; face; about
이렇다,VA,90,0.48,to be so
등,NNB,91,0.75,et cetera
가지다,VV,92,0.59,to have; hold
나오다,VV,93,0.72,to come out
살다,VV,94,0.71,to live
라는,ETM,95,0.94,called; as for
좋다,VA,96,0.71,to be good
지만,EC,97,0.98,but; however
나,JX,98,0.93,or
어,IC,99,0.04,oh; well
씨,NNB,100,0.77,Mr.; Ms.
두,MM,101,0.78,two
다고,EC,102,0.93,quotative connective
받다,VV,103,0.90,to receive
먹다,VV,104,0.55,to eat
말하다,VV,105,0.98,to speak; talk
뭐,NP,106,0.37,what
이,NP,107,0.93,this (one)
때문,NNB,108,0.96,because (of)
잘,MAG,109,0.63,well
어도,EC,110,0.82,even if; although
다가,EC,111,0.66,while
그래서,MAJ,112,0.43,so; therefore
데,NNB,113,0.78,place; spot
모르다,VV,114,0.78,to not know
을까,EF,115,0.75,question ending
더,MAG,116,0.85,more
크다,VA,117,0.88,to be big; tall; loud
좀,MAG,118,0.46,a little
이런,MM,119,0.67,this kind of
뭐,IC,120,0.12,what (exclamation)
주다,VV,121,0.67,to give
위하다,VV,122,0.96,for the sake of
소리,NNG,123,0.72,sound; talk
일,NNB,124,0.71,day; date
는데,EC,125,0.58,while; but
번,NNB,126,0.70,time (counter)
나다,VV,127,0.63,to happen; occur
ㄴ가,EF,128,0.89,question ending
너,NP,129,0.52,you
이것,NP,130,0.59,this thing
많다,VA,131,0.87,to be many
갖다,VV,132,0.55,to have
들다,VV,133,0.74,to enter; join
그러나,MAJ,134,0.99,but; however
어떻다,VA,135,0.69,how is it
저,NP,136,0.61,I (humble)
생각하다,VV,137,0.87,to think
죽다,VV,138,0.60,to die
여기,NP,139,0.58,here
못,MAG,140,0.51,cannot
생각,NNG,141,0.76,thought; idea
문제,NNG,142,0.88,problem
놓다,VX,143,0.67,auxiliary: finish up
죠,EF,144,0.35,confirmation ending
나,EC,145,0.91,but; or
듣다,VV,146,0.74,to hear; listen
앞,NNG,147,0.86,front
자기,NP,148,0.73,self
고,EC,149,0.69,quotative
얘기,NNG,150,0.43,story; talk
속,NNG,151,0.96,inside
나,JX,152,0.85,as much as
이제,MAG,153,0.03,now
냐,EF,154,0.44,question ending
부터,JX,155,0.94,from
못하다,VX,156,0.99,cannot (auxiliary)
어떤,MM,157,0.76,what kind of; some
저,MM,158,0.39,that (over there)
중,NNB,159,0.91,middle; among
많이,MAG,160,0.56,many; a lot
처럼,JX,161,0.97,like
왜,MAG,162,0.57,why
돈,NNG,163,0.66,money
명,NNB,164,0.85,person (counter)
여자,NNG,165,0.76,woman
지금,MAG,166,0.50,now
어디,NP,167,0.66,where
만들다,VV,168,0.92,to make
이제,MAG,169,0.55,now; these days
뒤,NNG,170,0.90,back; rear; after
들어오다,VV,171,0.68,to enter
개,NNB,172,0.83,item (counter)
보다,JKB,173,0.98,than (comparative)
그냥,MAG,174,0.30,just; as it is
다시,MAG,175,0.92,again
그리고,MAJ,176,0.94,and; in addition
자,EC,177,0.92,when; as
오다,VX,178,0.95,to come (auxiliary)
원,NNB,179,0.75,won (currency)
거기,NP,180,0.44,there
거든요,EF,181,0.16,background ending
따르다,VV,182,0.95,to follow
말다,VX,183,0.79,to not do (auxiliary)
쓰다,VV,184,0.76,to use
백,NR,185,0.74,hundred
전,NNG,186,0.89,before
월,NNB,187,0.83,month (counter)
나가다,VV,188,0.64,to go out
날,NNB,189,0.74,day (counter)
야,JKV,190,0.50,vocative marker
참,MAG,191,0.23,real; true
근데,MAJ,192,0.04,by the way
누구,NP,193,0.80,who
니까,EF,194,0.61,question ending
경우,NNG,195,0.88,case; circumstances
무슨,MM,196,0.64,what; what kind of
예,IC,197,0.20,yes
아이,NNG,198,0.84,child
다음,NNG,199,0.82,next
놈,NNB,200,0.45,dude; guy
하나,NR,201,0.62,one
다른,MM,202,0.94,another; different
싶다,VX,203,0.86,to want (auxiliary)
아라,EF,204,0.56,command ending
눈,NNG,205,0.87,eye
내다,VV,206,0.80,to make; pay
ㄴ다고,EC,207,0.84,quotative connective
잡다,VV,208,0.74,to catch; hold
앉다,VV,209,0.68,to sit
들다,VV,210,0.80,to lift; raise
두,JX,211,0.20,also; do (colloquial)
한테,JKB,212,0.44,to (dative)
막,MAG,213,0.15,just then; now
님,XSN,214,0.56,Mr./Ms. (honorific)
손,NNG,215,0.81,hand
단,ETM,216,0.29,quotative relative
안,NNG,217,0.85,inside
버리다,VX,218,0.85,to end up (auxiliary)
무엇,NP,219,0.90,what
시간,NNG,220,0.90,time
보이다,VV,221,0.97,to be shown; look
물,NNG,222,0.74,water
정도,NNG,223,0.89,degree; about
만,NR,224,0.78,ten thousand
한국,NNP,225,0.84,Korea
자신,NNG,226,0.99,self
천,NR,227,0.76,thousand
가다,VX,228,0.86,to become (auxiliary)
이거,NP,229,0.15,this thing
음,IC,230,0.06,well; hmm
응,IC,231,0.13,yes (informal)
ㄴ지,EC,232,0.89,whether; if
그런데,MAJ,233,0.79,by the way
어머니,NNG,234,0.79,mother
사회,NNG,235,0.85,society
치다,VV,236,0.65,to hit; strike
만나다,VV,237,0.84,to meet
어느,MM,238,0.89,which
찾다,VV,239,0.85,to find; look for
놓다,VV,240,0.54,to put; place
사다,VV,241,0.62,to buy
서다,VV,242,0.81,to stand
길,NNG,243,0.91,way; path
그때,NNG,244,0.65,then; that time
쓰다,VV,245,0.77,to write
몇,MM,246,0.85,how many
도록,EC,247,0.97,in order to
네,EF,248,0.47,exclamation ending
지나다,VV,249,0.90,to pass
네,IC,250,0.22,yes
같이,MAG,251,0.75,together
가지,NNB,252,0.84,sort; kind
얼굴,NNG,253,0.82,face
아버지,NNG,254,0.81,father
서울,NNP,255,0.85,Seoul
위,NNG,256,0.93,top
일본,NNP,257,0.91,Japan
마음,NNG,258,0.95,mind
없이,MAG,259,0.94,without
하나,NNG,260,0.90,one
로서,JKB,261,0.93,as (status)
오늘,NNG,262,0.68,today
부르다,VV,263,0.81,to call
애,NNG,264,0.42,child; kid
아주,MAG,265,0.54,very
나라,NNG,266,0.88,nation; country
ㄴ지,EC,267,0.91,whether; if
지금,NNG,268,0.85,now
그녀,NP,269,0.55,she
더니,EC,270,0.63,while; after
미국,NNP,271,0.83,America
루,JKB,272,0.20,to (colloquial)
너무,MAG,273,0.70,too (much)
요,JX,274,0.39,polite question particle
라고,JKB,275,0.89,called (quotative)
사실,NNG,276,0.98,fact
삼,NR,277,0.30,three
남자,NNG,278,0.74,man
자리,NNG,279,0.89,place; position
느냐,EF,280,0.56,question ending
방,NNG,281,0.73,room
시,NNB,282,0.84,hour (counter)
짓다,VV,283,0.82,to make; build
쪽,NNB,284,0.86,page; piece
가지다,VX,285,0.14,auxiliary: keep doing
점,NNG,286,0.92,point; aspect
아니,IC,287,0.43,oh; wow (surprise)
곳,NNG,288,0.99,place
몸,NNG,289,0.90,body
통하다,VV,290,0.91,to go through; connect
그거,NP,291,0.12,that thing
모두,MAG,292,0.97,all
후,NNG,293,0.97,after
들어오다,VV,294,0.70,to enter
묻다,VV,295,0.82,to ask
두다,VV,296,0.86,to put; place
정부,NNG,297,0.75,government
ㄴ가,EF,298,0.93,question ending
아들,NNG,299,0.67,son
란,ETM,300,0.91,called
제,NP,301,0.38,my (humble)
동안,NNG,302,0.95,during; while
터,NNB,303,0.69,place; space
그러니까,MAJ,304,0.28,therefore
러,EC,305,0.56,purpose ending
거나,EC,306,0.97,or
나,EF,307,0.61,question ending
여러,MM,308,0.87,many; several
분,NNB,309,0.46,minute (counter)
보내다,VV,310,0.83,to send
함께,MAG,311,0.98,together
시작하다,VV,312,0.98,to start
친구,NNG,313,0.75,friend
바로,MAG,314,0.95,right after; immediately
술,NNG,315,0.68,alcohol
가장,MAG,316,0.94,most; best
처음,NNG,317,0.90,first time
무녀,NNG,318,0.02,female shaman
모든,MM,319,0.98,every; all
는데,EF,320,0.31,background ending
라도,JX,321,0.90,even
이야기,NNG,322,0.91,story; talk
선생님,NNG,323,0.67,teacher
께,JKB,324,0.35,to (honorific)
이름,NNG,325,0.87,name
문,NNG,326,0.73,door
밤,NNG,327,0.80,night
세,MM,328,0.76,three
뿐,NNB,329,1.00,only
말다,VV,330,0.55,to stop; not do
관계,NNG,331,0.91,relation
세계,NNG,332,0.91,world
머리,NNG,333,0.78,head
이상,NNG,334,0.96,more than
내리다,VV,335,0.89,to get off; pour
당신,NP,336,0.76,you (formal)
이번,NNG,337,0.82,this time
타다,VV,338,0.78,to ride
에다,JX,339,0.50,on; top of
아직,MAG,340,0.94,still
경제,NNG,341,0.78,economy
하고,JKB,342,0.42,with
인간,NNG,343,0.91,human
구,NNG,344,0.35,district
산,NNG,345,0.70,mountain
학교,NNG,346,0.89,school
십,NR,347,0.40,ten
거,NNB,348,0.19,thing
그럼,MAJ,349,0.39,then; yes
사이,NNG,350,0.99,gap; between
줄,NNB,351,0.73,fact; method
생기다,VV,352,0.80,to be formed; happen
자다,VV,353,0.50,to sleep
보이다,VX,354,0.96,to show (auxiliary)
느끼다,VV,355,0.97,to feel
세요,EF,356,0.56,honorific polite ending
아,JKV,357,0.49,vocative (informal)
라고,EC,358,0.29,quotative
정말,MAG,359,0.62,really
뜻,NNG,360,0.86,meaning
딱,MAG,361,0.15,suddenly; perfectly
말씀,NNG,362,0.54,speech (honorific)
다니다,VV,363,0.77,to go around; attend
어렵다,VA,364,0.92,to be difficult
었었,EP,365,0.80,past-perfect suffix
떨어지다,VV,366,0.85,to fall
일어나다,VV,367,0.91,to get up
자,EF,368,0.81,let's (propose)
세상,NNG,369,0.91,world
의하다,VV,370,0.84,to be according to
그러면,MAJ,371,0.41,if so
글,NNG,372,0.77,writing
밖,NNG,373,0.89,outside
교육,NNG,374,0.86,education
맞다,VV,375,0.60,to be right
옛날,NNG,376,0.44,old days
열다,VV,377,0.87,to open
밖에,JX,378,0.95,only; except
모습,NNG,379,0.99,figure; appearance
적,NNB,380,0.75,time when
요,EC,381,0.58,and (connective)
밥,NNG,382,0.51,meal; rice
내다,VX,383,0.99,to accomplish (auxiliary)
구서,EC,384,0.04,after; and
대통령,NNG,385,0.66,president
다르다,VA,386,0.93,to be different
웃다,VV,387,0.74,to laugh; smile
에,IC,388,0.14,huh? (surprise)
입다,VV,389,0.77,to wear
살,NNB,390,0.59,age (counter)
불,NNG,391,0.72,fire; light
지역,NNG,392,0.81,region; area
엄마,NNG,393,0.72,mom
넣다,VV,394,0.82,to put in
중국,NNP,395,0.86,China
남다,VV,396,0.91,to remain
남,NNG,397,0.79,others
북한,NNP,398,0.68,North Korea
입,NNG,399,0.85,mouth
딸,NNG,400,0.61,daughter
이러하다,VA,401,0.77,to be like this
둘,NR,402,0.60,two
나타나다,VV,403,0.98,to appear
내용,NNG,404,0.90,content
려고,EC,405,0.94,in order to
책,NNG,406,0.94,book
로부터,JKB,407,0.96,from (origin)
시대,NNG,408,0.89,period; era
얻다,VV,409,0.91,to acquire; gain
열,NR,410,0.52,ten
시,NNG,411,0.82,poem; poetry
해,NNG,412,0.70,sun; day
생활,NNG,413,0.95,life; living
니,NP,414,0.30,you (colloquial)
문화,NNG,415,0.84,culture
나무,NNG,416,0.70,tree
학생,NNG,417,0.92,student
기자,NNG,418,0.65,reporter
억,NR,419,0.63,hundred million
방법,NNG,420,0.92,method; way
국민,NNG,421,0.81,citizen
모양,NNG,422,0.86,shape; appearance
중요하다,VA,423,0.88,to be important
밝히다,VV,424,0.73,to lighten; reveal
옷,NNG,425,0.71,clothes
야,IC,426,0.23,hey
얘기하다,VV,427,0.36,to talk; speak
먼저,MAG,428,0.89,first; beforehand
조사,NNG,429,0.71,survey; examination
오르다,VV,430,0.88,to go up
울다,VV,431,0.66,to cry
가운데,NNG,432,0.92,middle
놀다,VV,433,0.51,to play
특히,MAG,434,0.89,particularly
구나,EF,435,0.55,exclamation ending
힘,NNG,436,0.97,power; energy
예,NNG,437,0.72,example
저녁,NNG,438,0.63,evening; dinner
아무,MM,439,0.63,any; no
운동,NNG,440,0.90,exercise
차,NNG,441,0.82,car
면,EC,442,0.15,if (colloquial)
대학,NNG,443,0.92,university
채,NNB,444,0.93,as it is; while
땅,NNG,445,0.91,ground; soil
분,NNB,446,0.84,person (honorific counter)
팔다,VV,447,0.66,to sell
지내다,VV,448,0.69,to live; get along
이미,MAG,449,1.00,already
국가,NNG,450,0.86,nation
읽다,VV,451,0.92,to read
조사자,NNG,452,0.01,examiner
다면,EC,453,0.99,if (condition)
니,EF,454,0.59,question ending
밑,NNG,455,0.65,bottom
물론,MAG,456,0.97,of course
랑,JKB,457,0.25,with
및,MAG,458,0.74,as well as; and
꼭,MAG,459,0.69,surely; certainly
의미,NNG,460,0.88,meaning
나다,VX,461,0.79,to finish (auxiliary)
드리다,VV,462,0.47,to give (humble)
못하다,VA,463,0.70,to be poor/inferior
요,EF,464,0.39,polite final ending
일,NR,465,0.43,one
끝,NNG,466,0.92,end
얼마나,MAG,467,0.85,how much
ㄴ다면,EC,468,0.98,if (condition)
서로,MAG,469,0.86,each other
듯,NNB,470,0.83,as if
돌아가다,VV,471,0.83,to go back; return
정치,NNG,472,0.87,politics
새롭다,VA,473,0.92,to be new
마다,JX,474,0.95,each; every
부분,NNG,475,0.80,part
높다,VA,476,0.91,to be high
비,NNG,477,0.71,rain
상황,NNG,478,0.91,situation
하루,NNG,479,0.82,one day
이러다,VV,480,0.32,to do so
전화,NNG,481,0.86,phone
떠나다,VV,482,0.94,to leave
로써,JKB,483,0.89,with; by
과정,NNG,484,0.87,process
노래,NNG,485,0.75,song
지,NNB,486,0.73,since
오,NR,487,0.34,five
사랑,NNG,488,0.93,love
교수,NNG,489,0.85,professor
자,IC,490,0.35,well
옆,NNG,491,0.76,side; beside
기업,NNG,492,0.74,enterprise
께서,JKS,493,0.72,subject marker (honorific)
넘다,VV,494,0.84,to go over; pass
대,NNB,495,0.83,university (counter)
거의,MAG,496,0.92,almost
이유,NNG,497,0.97,reason
역시,MAG,498,0.97,also; as well
란,JX,499,0.94,as for
올라가다,VV,500,0.63,to go up
혼자,NNG,501,0.77,alone
간,NNB,502,0.87,between
올리다,VV,503,0.90,to raise
아침,NNG,504,0.81,morning
연구,NNG,505,0.84,research|study
달,NNB,506,0.73,month (counter)
이제,NNG,507,0.85,now
시장,NNG,508,0.80,market
남편,NNG,509,0.88,husband
사건,NNG,510,0.93,incident|accident
게,EF,511,0.45,final ending (command)
정신,NNG,512,0.95,mind|spirit|consciousness
기다리다,VV,513,0.88,to wait
필요하다,VA,514,0.94,necessary|in need of
해당하다,VV,515,0.28,to correspond to|be the same as
회사,NNG,516,0.91,company
얼마,NNG,517,0.81,how much|how many
선생,NNG,518,0.80,teacher
이,NNB,519,0.65,person (bound noun)
끝나다,VV,520,0.90,to finish
돌다,VV,521,0.67,to turn|circle around
계속,MAG,522,0.77,continuously|always
멀다,VA,523,0.69,far|remote
당시,NNG,524,0.90,at that time
영화,NNG,525,0.86,movie
방언,NNG,526,0.07,dialect
자식,NNG,527,0.66,children
시키다,VV,528,0.65,to make|get (someone to do)
쉽다,VA,529,0.96,easy
작다,VA,530,0.95,small|short
바,NNB,531,0.94,way|method
대로,JX,532,0.88,like|as
웃음,NNG,533,0.58,laughter
결과,NNG,534,0.88,result
을지,EC,535,0.97,whether|if
의원,NNG,536,0.72,member of assembly
또는,MAJ,537,0.85,or|otherwise
이후,NNG,538,0.88,since|after that time
돌아오다,VV,539,0.91,to come back|return
떡,NNG,540,0.25,rice cake
믿다,VV,541,0.95,to believe|trust
정보,NNG,542,0.86,information
고개,NNG,543,0.74,head
죽이다,VV,544,0.70,to kill|slaughter
상태,NNG,545,0.95,state|condition
조선,NNP,546,0.90,Joseon dynasty
곧,MAG,547,0.97,soon
결국,NNG,548,0.93,finally|in the end
또한,MAG,549,0.90,in addition|also
나이,NNG,550,0.80,age
하지만,MAJ,551,0.97,but|however
마을,NNG,552,0.92,village
으려,EC,553,0.95,connective (purpose)
하늘,NNG,554,0.89,sky
신,NNG,555,0.81,God|god
ㄴ데,EC,556,0.45,connective (background)
동네,NNG,557,0.59,town|neighborhood
청중,NNG,558,0.12,audience
형,NNG,559,0.75,elder brother
나가다,VX,560,0.94,to progress|continue (aux)
부인,NNG,561,0.71,wife
안되다,VV,562,0.87,to turn out bad|to be sorry
지방,NNG,563,0.87,province|region
배우다,VV,564,0.80,to learn
창,NNG,565,0.41,window
발,NNG,566,0.82,foot
나서다,VV,567,0.93,to come forward|start
작품,NNG,568,0.88,work (artistic)
마시다,VV,569,0.87,to drink
즉,MAG,570,0.79,in other words
세우다,VV,571,0.96,to establish|set up
그대로,MAG,572,0.95,as it is
대로,NNB,573,0.83,as|in accordance with
할머니,NNG,574,0.63,grandmother
배,NNB,575,0.70,boat|ship
걸리다,VV,576,0.88,to take (time)|catch (cold)
양반,NNG,577,0.45,noble|husband
정책,NNG,578,0.77,policy
진짜,NNG,579,0.33,real|authentic
듯,EC,580,0.93,as if
새,MM,581,0.87,new (adnominal)
필요,NNG,582,0.95,need|necessity
이르다,VV,583,0.96,to reach|arrive at
부,NNG,584,0.82,department
따라서,MAJ,585,0.87,thus|therefore
역사,NNG,586,0.91,history
라면,EC,587,0.97,if (condition)
어다,EC,588,0.58,while|connective
어리다,VA,589,0.84,young|immature
려느냐,EC,590,0.99,intention (ending)
고서,EC,591,0.59,and then (connective)
그리다,VV,592,0.87,to draw|describe
길다,VA,593,0.89,long
여성,NNG,594,0.86,women
가슴,NNG,595,0.89,mind|chest|heart
면,NNG,596,0.86,face|side|aspect
아래,NNG,597,0.94,below|under
노인,NNG,598,0.78,old person
굉장히,MAG,599,0.12,extremely|greatly
대다,VV,600,0.71,to put|touch
나누다,VV,601,0.95,to share|divide
더욱,MAG,602,0.98,more
아내,NNG,603,0.92,wife
문학,NNG,604,0.81,literature
군,NNG,605,0.95,military
낳다,VV,606,0.72,to give birth to
꿈,NNG,607,0.87,dream
기술,NNG,608,0.84,technology|skill
두다,VX,609,0.94,to finish|do (aux)
삶,NNG,610,0.94,life
듯하다,VX,611,0.94,to seem to (aux)
공부,NNG,612,0.68,study
자네,NP,613,0.61,you (familiar)
목,NNG,614,0.73,throat
그만,MAG,615,0.62,no longer|stopping
젊다,VA,616,0.88,to be young
그저,MAG,617,0.61,just|only
걸다,VV,618,0.81,to hang|risk
바라보다,VV,619,0.85,to look at
바람,NNG,620,0.91,wind
자체,NNG,621,0.91,itself
이루어지다,VV,622,0.91,to be accomplished
달다,VX,623,0.72,to give (aux)
관하다,VV,624,0.92,to be related to
오빠,NNG,625,0.47,elder brother (female speaker)
므로,EC,626,0.90,therefore|so
민족,NNG,627,0.87,people|ethnicity
걷다,VV,628,0.84,to walk
병,NNG,629,0.79,disease|illness
데리다,VV,630,0.61,to take|bring (a person)
좋아하다,VV,631,0.78,to like
미,NNP,632,0.80,America|USA
열리다,VV,633,0.88,to open|be opened
언니,NNG,634,0.50,elder sister (female speaker)
잠,NNG,635,0.76,sleep
최근,NNG,636,0.68,recent|latest
향하다,VV,637,0.94,to direct|be toward
이,NR,638,0.37,two
계획,NNG,639,0.82,plan
얼,NNG,640,0.15,spirit
과거,NNG,641,0.86,past
잇다,VV,642,0.96,to connect|continue
싫다,VA,643,0.65,to hate|dislike
풀다,VV,644,0.83,to untie|relax
식,NNB,645,0.70,ceremony (bound noun)
각,MM,646,0.89,each (adnominal)
버리다,VV,647,0.83,to throw away
번째,NNB,648,0.84,counter (order)
어쩌다,VV,649,0.75,to do what|how
반,NNG,650,0.83,half
어도,EC,651,0.17,even if
관심,NNG,652,0.93,interest|concern
달,NNG,653,0.75,moon
돌리다,VV,654,0.88,to turn|spin
대상,NNG,655,0.86,object|target
아마,MAG,656,0.59,probably
빨리,MAG,657,0.70,quickly|fast
쪼다,VV,658,0.08,to peck
사용하다,VV,659,0.89,to use
당하다,VV,660,0.92,to suffer|undergo
붙이다,VV,661,0.86,to stick|attach
머,IC,662,0.07,well|gee
요즘,NNG,663,0.74,these days
저희,NP,664,0.35,we|our (humble)
꽃,NNG,665,0.86,flower
주인,NNG,666,0.82,owner
언어,NNG,667,0.75,language
입장,NNG,668,0.90,position|situation
힘들다,VA,669,0.79,hard|tough|difficult
활동,NNG,670,0.86,activity
읍시다,EF,671,0.78,let's (formal)
사진,NNG,672,0.83,photo
더라도,EC,673,0.99,even though
지키다,VV,674,0.96,to guard|defend|keep
놀라다,VV,675,0.83,to be surprised
바꾸다,VV,676,0.90,to change|exchange
구조,NNG,677,0.84,structure
부모,NNG,678,0.80,parents
그리하다,VV,679,0.40,to do so
끌다,VV,680,0.87,to pull|drag|attract
목소리,NNG,681,0.86,voice
변화,NNG,682,0.89,change
든지,JX,683,0.72,either... or
세,NNB,684,0.83,counter (age)
당기다,VV,685,0.12,to catch fire|pull
만큼,NNB,686,0.98,as much as
아까,MAG,687,0.31,a while ago
현재,MAG,688,0.76,present|current
이상하다,VA,689,0.72,strange
사업,NNG,690,0.82,business
이래,NNB,691,0.46,since
현실,NNG,692,0.92,reality
이놈,NP,693,0.30,this guy (slang)
붙다,VV,694,0.80,to attach|stick
막다,VV,695,0.85,to block|keep from
그러하다,VA,696,0.89,to be so|like that
법,NNG,697,0.90,law
표정,NNG,698,0.83,facial expression
오히려,MAG,699,0.98,on the contrary
바라다,VV,700,0.86,to wish|hope
삼다,VV,701,0.88,to make|take|use
자,NNG,702,0.78,letter|character
환경,NNG,703,0.80,environment
우선,MAG,704,0.94,first of all
신문,NNG,705,0.94,newspaper
귀,NNG,706,0.80,ear
여러분,NP,707,0.50,you (plural, honorific)
자꾸,MAG,708,0.43,repeatedly
대,EF,709,0.26,final ending (report)
자료,NNG,710,0.81,material|data
아프다,VA,711,0.73,sick|ill
군,EF,712,0.68,final ending (exclamation)
나중,NNG,713,0.59,later
이루다,VV,714,0.95,to accomplish
모시다,VV,715,0.58,to attend|serve
첫,MM,716,0.88,first (adnominal)
잔,NNB,717,0.64,counter (cup)
개혁,NNG,718,0.76,reform
음악,NNG,719,0.91,music
돌,NNG,720,0.66,stone|rock
사장,NNG,721,0.89,president|owner
들리다,VV,722,0.81,to be heard
조금,MAG,723,0.80,a little|bit
모으다,VV,724,0.91,to collect|save up
갑자기,MAG,725,0.85,suddenly
당,NNG,726,0.86,political party
장관,NNG,727,0.72,minister
그리,MAG,728,0.59,so|very
빠지다,VV,729,0.93,to fall into
괜찮다,VA,730,0.50,good|all right
소,NNG,731,0.66,cow|bull
전혀,MAG,732,0.95,not at all
걔,NP,733,0.14,that kid
전쟁,NNG,734,0.96,war|battle
가족,NNG,735,0.97,family
맞추다,VV,736,0.80,to match|check|set
이십,NR,737,0.28,twenty
사실,MAG,738,0.73,in fact
강,NNG,739,0.74,river
차,NNB,740,0.86,counter (order)|moment
잘하다,VV,741,0.58,to do well
깊다,VA,742,0.98,deep
중심,NNG,743,0.88,center|middle
바다,NNG,744,0.91,sea
다구,EF,745,0.27,final ending (statement)
더라,EF,746,0.41,final ending (retrospect)
피,NNG,747,0.83,blood
쌀,NNG,748,0.67,rice
빼다,VV,749,0.66,to subtract|count out
듯이,EC,750,0.95,as if
마지막,NNG,751,0.93,last|final
같이,JX,752,0.83,like (particle)
소설,NNG,753,0.89,novel
내려오다,VV,754,0.71,to come down
다리,NNG,755,0.77,leg
눈물,NNG,756,0.85,tear
내일,NNG,757,0.66,tomorrow
제도,NNG,758,0.85,institution|system
그림,NNG,759,0.95,picture|drawing
호,NNB,760,0.88,counter (room/house)
대표,NNG,761,0.64,representative
영감,NNG,762,0.44,old man
일단,MAG,763,0.75,first|once
가능하다,VA,764,0.92,possible
따다,VV,765,0.65,to pick|win
담배,NNG,766,0.80,cigarette
죄,NNG,767,0.72,sin|crime
만하다,VX,768,0.99,worth|be worthy of (aux)
든,EC,769,0.72,either... or
대부분,NNG,770,0.92,most|almost
어른,NNG,771,0.76,adult
벌써,MAG,772,0.79,already
전하다,VV,773,0.96,to deliver|send
지다,VV,774,0.72,to carry (on shoulder)
다섯,NR,775,0.68,five
손님,NNG,776,0.73,guest|customer
집안,NNG,777,0.85,family|home
발전,NNG,778,0.84,development
아무리,MAG,779,0.90,no matter how
우리나라,NNG,780,0.85,our country
기분,NNG,781,0.85,mood|feeling
의식,NNG,782,0.92,consciousness
거든,EC,783,0.28,connective (background)
저기,NP,784,0.29,there|that place
뿐,JX,785,1.00,only|just
느낌,NNG,786,0.94,feeling|sense
회장,NNG,787,0.79,president|chair
팔,NNG,788,0.70,arm
순간,NNG,789,0.93,moment|instant
전체,NNG,790,0.91,whole|entirety
